Subject,BPM,RMSSD,SDNN,PNN50,SD1,SD2,LF_HF,Label
Chiara,0.9959441311210657,0.8663125394673309,0.8687635692852824,0.8823813907989463,0.8663672601927677,0.8691368485534922,0.7745982022935002,Baseline
Chiara,0.9991725793096968,0.8572057054188823,0.8624303534413381,0.8257310225157197,0.857238777282556,0.8631031015038036,0.7910585059545965,Baseline
Chiara,1.1220585455036043,0.9193606052769564,0.8870528246344611,0.6647501489954438,0.9187276223211074,0.8831566951138822,0.7014946637301098,Stress
Chiara,1.1223853632050367,0.7438279330937783,0.8429466285349407,0.550138054341057,0.7436369648192888,0.853283348638145,0.8184818776303959,Stress
Chiara,1.1090250525653538,0.75931451628482,0.8307628057722783,0.581922233167892,0.7591801057191193,0.8383326734637023,0.8485391162755646,Stress
Chiara,0.995769940018057,1.0012449612819334,1.0325940296583744,1.057967872598266,1.0013412370295007,1.0361855687597432,0.4625132974294455,Stress
Chiara,0.9930402620283268,0.9968258993358173,1.0188814173947462,1.038095753881113,0.9968973363216612,1.0214671760867913,0.39071244904958063,Stress
Chiara,0.9997558431261642,1.0264026016917376,1.0192668809623078,1.057967872598266,1.0264508896379538,1.018548459297987,0.47525068119327857,Stress
Chiara,1.0014260696527082,1.0436409732681233,1.0358053100628153,1.1353801559591148,1.0434805777179832,1.035032336768023,0.7588876644332782,Stress
Chiara,0.9897981893130131,1.0557832966649536,1.0225965109393231,1.2007107534775188,1.0555070448041206,1.0189303304179995,0.9556233118028763,Stress
Chiara,0.9869546521715943,1.021021518438576,1.0363943425285311,1.1746083457932248,1.020907120472717,1.0382786917388407,0.9403073929982021,Stress
Sofia,1.017373218786602,1.0491301386427885,0.8162158049730682,0.0,1.049017387128897,0.7942489832599928,0.3643404995055692,Baseline
Sofia,1.0197471885458442,1.0303269997406044,0.8881470067813849,0.0,1.0295915300241765,0.8760872484411094,0.43404636246616096,Baseline
Sofia,1.021993253490881,1.0379093882976969,0.8297164869008454,0.0,1.0380268811770803,0.8105012021241113,0.4932867612318458,Baseline
Sofia,1.0228585128275398,1.0812490972405102,0.8490899107704896,0.0,1.0813090932496436,0.8273486679294849,0.42353727698450355,Baseline
Sofia,1.024461322304741,1.0962227114688265,0.892917447623772,0.0,1.096327729810353,0.8744716697277829,0.4315698710233969,Baseline
Sofia,1.0242480883270737,1.0988802249721854,0.8849447783572768,0.0,1.0989618028688808,0.865333481342696,0.5392434937332709,Baseline
Sofia,1.0249734462733997,1.0944474508521775,0.9128629584361955,0.0,1.0945522372890961,0.8967623792235901,0.6400203323562766,Baseline
Sofia,1.0219615307934904,1.1115620345655446,1.087425510362955,0.0,1.1112285922740586,1.086583839883908,0.6613223476562747,Baseline
Sofia,1.0195347766168854,1.159763362349037,1.1776051048859522,0.0,1.159838687933206,1.1803982671516509,0.5395664877083547,Baseline
Sofia,0.9804708038276089,1.0039032661000542,1.0822808986527883,0.0,1.0041161422276743,1.089966359600817,0.8524650904378817,Baseline
Sofia,0.9803396558753348,0.9924255028325948,1.0852381721787898,0.0,0.9926742750631032,1.0940636875566734,1.475120630068894,Baseline
